S1 Center 	 Band Mean 	 Band Widths
106.0	4.287573295010976	[0.1193173 0.1193173]
107.0	4.295918746186174	[0.11618312 0.11618312]
108.0	4.297672474698503	[0.1184493 0.1184493]
109.0	4.302070393061445	[0.11726771 0.11726771]
110.0	4.302380690599202	[0.11946049 0.11946049]
111.0	4.3085367937848105	[0.12128517 0.12128517]
112.0	4.307630479869418	[0.11661761 0.11661761]
113.0	4.318447145589057	[0.11489835 0.11489835]
114.0	4.316928283458336	[0.11734261 0.11734261]
115.0	4.319362170672394	[0.10034587 0.12628061]
116.0	4.330686058970276	[0.10918356 0.12851697]
117.0	4.328801735143206	[0.10842836 0.13153537]
118.0	4.3309248938333065	[0.11939737 0.11939737]
119.0	4.335111315216308	[0.11484064 0.11484064]
120.0	4.336079459656561	[0.1163895 0.1163895]
121.0	4.340814744927185	[0.11024463 0.12792572]
122.0	4.337794871379214	[0.11209049 0.11209049]
123.0	4.339538852697339	[0.1172219 0.1172219]
124.0	4.345799395887618	[0.11238952 0.11238952]
125.0	4.347768595808404	[0.11833782 0.11833782]
126.0	4.355085183850579	[0.11053105 0.11053105]
127.0	4.357769751979109	[0.11632453 0.11632453]
128.0	4.3583563191715005	[0.11751175 0.11751175]
129.0	4.368597487867049	[0.12245151 0.12245151]
130.0	4.369380097997928	[0.11743098 0.12030597]
131.0	4.365011682035316	[0.11855733 0.11855733]
132.0	4.372838328040385	[0.12305921 0.12305921]
133.0	4.372779471304749	[0.11756366 0.11756366]
134.0	4.37730996890129	[0.11723794 0.11723794]
135.0	4.375933549703536	[0.1219566 0.1219566]
136.0	4.381848430269726	[0.10759978 0.12912615]
137.0	4.380754637810241	[0.11116068 0.11116068]
138.0	4.390638421075266	[0.1141798 0.1141798]
139.0	4.390010545321155	[0.12025619 0.12025619]
140.0	4.394742762587125	[0.10914064 0.1222738 ]
141.0	4.389711351642175	[0.1119372 0.1119372]
142.0	4.391621995932154	[0.11155749 0.11155749]
143.0	4.395939829456662	[0.11681346 0.11681346]
144.0	4.40269443449954	[0.11372574 0.11372574]
145.0	4.405867462423853	[0.11781782 0.11781782]
146.0	4.40854524607755	[0.1026881 0.1313572]
147.0	4.413695055329566	[0.10853983 0.10853983]
148.0	4.412198928926825	[0.10704142 0.10704142]
149.0	4.418110776415925	[0.09506201 0.13584344]
150.0	4.41518010907861	[0.11413441 0.11413441]
151.0	4.424280051119737	[0.11681268 0.11681268]
152.0	4.421909191175556	[0.10437575 0.13718904]
153.0	4.42760440101012	[0.11824879 0.11824879]
154.0	4.430589018939752	[0.10418272 0.12704524]
155.0	4.433674274934347	[0.10379361 0.13796438]
156.0	4.43374787387775	[0.10960923 0.10960923]
157.0	4.442480389773066	[0.10766588 0.13590288]
158.0	4.436342161441125	[0.12020023 0.12020023]
159.0	4.441353669574465	[0.11795051 0.11795051]
160.0	4.441519485551483	[0.11514978 0.11514978]
161.0	4.451864213406757	[0.11916965 0.11916965]
162.0	4.449826167491375	[0.11407068 0.11407068]
163.0	4.4511708340974785	[0.11474924 0.11474924]
164.0	4.45600345257992	[0.1060859  0.12613778]
165.0	4.456514896206223	[0.11708473 0.11708473]
166.0	4.461880130613328	[0.1045175  0.13178192]
167.0	4.461776567663514	[0.10698821 0.1231813 ]
168.0	4.464760239950498	[0.11700922 0.11700922]
169.0	4.459957564878801	[0.11347594 0.11347594]
170.0	4.467806932384497	[0.10466999 0.13311451]
171.0	4.4710443329744916	[0.12200864 0.12200864]
172.0	4.473543227090664	[0.11884263 0.11884263]
173.0	4.477377995234364	[0.1089623  0.12746693]
174.0	4.478684360688587	[0.11291953 0.11291953]
175.0	4.483520511229135	[0.1213991 0.1213991]
176.0	4.482481741329887	[0.10558794 0.1214464 ]
177.0	4.4851274621139625	[0.11373229 0.11373229]
178.0	4.48707476528867	[0.11904116 0.11904116]
179.0	4.481756230209927	[0.11511713 0.11511713]
180.0	4.4912046309916205	[0.11212335 0.11212335]
181.0	4.495543147508235	[0.1168428 0.1168428]
182.0	4.497277013552938	[0.11831837 0.11831837]
183.0	4.494324463387381	[0.11791538 0.11791538]
